coinmarketcap,currency,github,website
https://coinmarketcap.com/currencies/qubitcoin/,qubitcoin,https://github.com/willowrose/QubitCoin,https://qubitcoin.cc/
https://coinmarketcap.com/currencies/valorbit/,valorbit,https://github.com/valorbit/valorbit,https://valorbit.com/
https://coinmarketcap.com/currencies/fuelcoin/,fuelcoin,,http://www.fuelcoin.org/
https://coinmarketcap.com/currencies/auroracoin/,auroracoin,https://github.com/aurarad/auroracoin,http://auroracoin.is/
https://coinmarketcap.com/currencies/kucoin-shares/,kucoin-shares,,https://www.kucoin.com/
https://coinmarketcap.com/currencies/obits/,obits,,http://www.obits.io/
https://coinmarketcap.com/currencies/socialcoin-socc/,socialcoin-socc,https://github.com/SocialCoinNetwk/SocialCoin,
https://coinmarketcap.com/currencies/target-coin/,target-coin,,https://www.tgtcoins.com/
https://coinmarketcap.com/currencies/topaz/,topaz,https://github.com/cryptocoderz/topaz,
https://coinmarketcap.com/currencies/bittokens/,bittokens,https://github.com/BitTokens/BitToken,http://www.bittoken.pw/
https://coinmarketcap.com/currencies/sydpak/,sydpak,,http://www.sydpak.com/
https://coinmarketcap.com/currencies/daxxcoin/,daxxcoin,,https://daxxcoin.org/
https://coinmarketcap.com/currencies/eryllium/,eryllium,https://github.com/Eryllium/,https://eryllium.com/
https://coinmarketcap.com/currencies/dao-casino/,dao-casino,https://github.com/daocasino,https://dao.casino/
https://coinmarketcap.com/currencies/neurodao/,neurodao,,http://neurodao.com/
https://coinmarketcap.com/currencies/soulcoin/,soulcoin,https://github.com/newsouldev/soul31,
https://coinmarketcap.com/currencies/storjcoin-x/,storjcoin-x,https://github.com/Storj/,http://storj.io
https://coinmarketcap.com/currencies/boscoin/,boscoin,https://github.com/owlchain/owlchain-core,https://boscoin.io/
https://coinmarketcap.com/currencies/nuls/,nuls,https://github.com/nuls-io/nuls,https://nuls.io/
https://coinmarketcap.com/currencies/xcurrency/,xcurrency,,http://xcurrency.com/
https://coinmarketcap.com/currencies/minex/,minex,,http://minexteam.com/
https://coinmarketcap.com/currencies/i0coin/,i0coin,https://github.com/domob1812/i0coin,http://izerocoin.org
https://coinmarketcap.com/currencies/curecoin/,curecoin,https://github.com/cygnusxi/CurecoinSource,https://curecoin.net/
https://coinmarketcap.com/currencies/dutch-coin/,dutch-coin,,https://www.dutchcoin.net/
https://coinmarketcap.com/currencies/hicoin/,hicoin,https://github.com/hicoindev/hicoin,http://xhicoin.com/
https://coinmarketcap.com/currencies/bankcoin/,bankcoin,,http://bankcoin.global/
https://coinmarketcap.com/currencies/interzone/,interzone,https://github.com/projectinterzone/ITZ,https://interzone.space/
https://coinmarketcap.com/currencies/gameunits/,gameunits,https://github.com/gameunits/gameunits,http://gameunits.org/
https://coinmarketcap.com/currencies/chancoin/,chancoin,https://github.com/chancoin-core/chancoin,https://chancoin.org/
https://coinmarketcap.com/currencies/library-credit/,library-credit,https://github.com/lbryio,https://lbry.io/
https://coinmarketcap.com/currencies/digicube/,digicube,,http://www.freestaking.com
https://coinmarketcap.com/currencies/concoin/,concoin,,http://www.concoin.com/
https://coinmarketcap.com/currencies/pirl/,pirl,https://github.com/pirl,https://pirl.io/
https://coinmarketcap.com/currencies/faircoin/,faircoin,https://github.com/FairCoinTeam/fair-coin,http://fair-coin.org/
https://coinmarketcap.com/currencies/incakoin/,incakoin,https://github.com/madross/incakoin-new/,http://incakoin.info/
https://coinmarketcap.com/currencies/suretly/,suretly,,https://www.suretly.com/
https://coinmarketcap.com/currencies/xgox/,xgox,https://github.com/bumbacoin/xgox,http://xgox.rocks/
https://coinmarketcap.com/currencies/xaucoin/,xaucoin,,
https://coinmarketcap.com/currencies/evergreencoin/,evergreencoin,https://github.com/EverGreenCoinDev/EverGreenCoin/,http://evergreencoin.org/
https://coinmarketcap.com/currencies/uncoin/,uncoin,https://github.com/belledejour/uncoin-source-code,http://uncoin.org/
https://coinmarketcap.com/currencies/link-platform/,link-platform,https://github.com/ethlink/,https://ethereum.link/
https://coinmarketcap.com/currencies/gpu-coin/,gpu-coin,https://github.com/white92d15b7/GPU-Coin,http://gpucoin.usedgpus.com/
https://coinmarketcap.com/currencies/money/,money,https://github.com/moneyfoundation/money,http://moneyfoundation.github.io/moneypage/index.html
https://coinmarketcap.com/currencies/bitboost/,bitboost,https://github.com/Bitboost/,http://www.bitboost.net/
https://coinmarketcap.com/currencies/primalbase/,primalbase,,https://primalbase.com/
https://coinmarketcap.com/currencies/bitcoin-plus/,bitcoin-plus,https://github.com/bitcoinplusorg/,http://www.bitcoinplus.org
https://coinmarketcap.com/currencies/artbyte/,artbyte,,https://www.artbyte.me/
https://coinmarketcap.com/currencies/skycoin/,skycoin,https://github.com/skycoin,http://skycoin.net/
https://coinmarketcap.com/currencies/canada-ecoin/,canada-ecoin,https://github.com/Canada-eCoin/,http://www.canadaecoin.ca/
https://coinmarketcap.com/currencies/nubits/,nubits,https://bitbucket.org/JordanLeePeershares/nubit/overview,https://www.nubits.com
https://coinmarketcap.com/currencies/minexcoin/,minexcoin,https://github.com/minexcoin/minexcoin,https://minexcoin.com/
https://coinmarketcap.com/currencies/peepcoin/,peepcoin,,
https://coinmarketcap.com/currencies/wearesatoshi/,wearesatoshi,https://github.com/WeAreSatoshi,http://www.wsx.co.in
https://coinmarketcap.com/currencies/qwark/,qwark,,http://www.qwark.io/
https://coinmarketcap.com/currencies/antimatter/,antimatter,https://github.com/antimattercoin/Antimatter,
https://coinmarketcap.com/currencies/frazcoin/,frazcoin,https://github.com/frazcoin/frazCoin,http://frazcoin.org/
https://coinmarketcap.com/currencies/centurion/,centurion,,http://www.centurionlab.org/
https://coinmarketcap.com/currencies/bitqy/,bitqy,,https://bitqy.org/
https://coinmarketcap.com/currencies/zozocoin/,zozocoin,https://github.com/ZoZoCoin/ZoZo-blockchain,https://www.zozocoins.com/
https://coinmarketcap.com/currencies/vslice/,vslice,,http://www.vslice.io/
https://coinmarketcap.com/currencies/icoin/,icoin,,http://www.icoin.world/
https://coinmarketcap.com/currencies/real-estate-tokens/,real-estate-tokens,,http://rexmls.com/
https://coinmarketcap.com/currencies/solarcoin/,solarcoin,https://github.com/onsightit/solarcoin,http://solarcoin.org/
https://coinmarketcap.com/currencies/propy/,propy,,https://propy.com/
https://coinmarketcap.com/currencies/casinocoin/,casinocoin,https://github.com/casinocoin/casinocoin,http://casinocoin.org/
https://coinmarketcap.com/currencies/truckcoin/,truckcoin,https://github.com/noise23/Truckcoin,http://truckcoin.net
https://coinmarketcap.com/currencies/ohm-wallet/,ohm-wallet,,https://ohmwallet.com/
https://coinmarketcap.com/currencies/centra/,centra,https://github.com/CentraTech/smart-contract,https://www.centra.tech/
https://coinmarketcap.com/currencies/martexcoin/,martexcoin,https://github.com/martexcoin/martexcoin,http://martexcoin.org/
https://coinmarketcap.com/currencies/astro/,astro,,https://astronaut.capital/
https://coinmarketcap.com/currencies/riecoin/,riecoin,https://github.com/riecoin/riecoin,http://riecoin.org/
https://coinmarketcap.com/currencies/ark/,ark,https://github.com/ArkEcosystem,http://ark.io/
https://coinmarketcap.com/currencies/zeusshield/,zeusshield,,https://zsc.io/
https://coinmarketcap.com/currencies/mustangcoin/,mustangcoin,https://github.com/mustangcoin/mst-v3,
https://coinmarketcap.com/currencies/cachecoin/,cachecoin,https://github.com/kalgecin/CACHeCoin,https://www.cachecoin.cc/
https://coinmarketcap.com/currencies/luna-coin/,luna-coin,,https://bitluna.org/
https://coinmarketcap.com/currencies/bitcurrency/,bitcurrency,https://github.com/tokyoghetto/BitCurrencyPro,
https://coinmarketcap.com/currencies/shellcoin/,shellcoin,https://bitbucket.org/shellnode/shell,http://www.shellcoin.org
